Date,Image Name,Resolution,Size (bytes),Image Path,Brisque_Score,Quality_Assessment
03-05-2023,03-05-2023/100240110_2023-05-02_2.jpg,360 x 480,19811,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100240110_2023-05-02_2.jpg"")",35.01572674597716,Poor quality and clarity
03-05-2023,03-05-2023/100242931_2023-05-02_2.jpg,360 x 480,32637,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100242931_2023-05-02_2.jpg"")",20.998648541436154,Good quality and clarity
03-05-2023,03-05-2023/100244731_2023-05-02_2.jpg,480 x 1064,61438,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100244731_2023-05-02_2.jpg"")",14.926142941785855,Good quality and clarity
03-05-2023,03-05-2023/100246231_2023-05-02_2.jpg,480 x 215,14288,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100246231_2023-05-02_2.jpg"")",30.690360863967584,Poor quality and clarity
03-05-2023,03-05-2023/100251628_2023-05-02_2.jpg,480 x 360,32527,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100251628_2023-05-02_2.jpg"")",21.729280099204715,Good quality and clarity
03-05-2023,03-05-2023/100256652_2023-05-02_2.jpg,360 x 480,36522,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100256652_2023-05-02_2.jpg"")",35.76569638056205,Poor quality and clarity
03-05-2023,03-05-2023/100257915_2023-05-02_2.jpg,480 x 640,42622,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100257915_2023-05-02_2.jpg"")",30.186853044547405,Poor quality and clarity
03-05-2023,03-05-2023/100263801_2023-05-02_2.jpg,360 x 480,29981,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100263801_2023-05-02_2.jpg"")",28.093410023473297,Good quality and clarity
03-05-2023,03-05-2023/100264101_2023-05-02_2.jpg,360 x 480,28984,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100264101_2023-05-02_2.jpg"")",21.32865485899194,Good quality and clarity
03-05-2023,03-05-2023/100273020_2023-05-02_2.jpg,480 x 1073,79514,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100273020_2023-05-02_2.jpg"")",30.516313573008546,Poor quality and clarity
03-05-2023,03-05-2023/100273552_2023-05-02_2.jpg,480 x 640,26583,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100273552_2023-05-02_2.jpg"")",30.923739527953416,Poor quality and clarity
03-05-2023,03-05-2023/100275591_2023-05-02_2.jpg,480 x 640,34437,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100275591_2023-05-02_2.jpg"")",26.767327824430225,Good quality and clarity
03-05-2023,03-05-2023/100275827_2023-05-02_2.jpg,360 x 480,31753,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100275827_2023-05-02_2.jpg"")",20.45307832623402,Good quality and clarity
